location,price,sector,year
Alabama,13.16,Commercial,2023
Kentucky,11.38,Commercial,2023
Mississippi,12.37,Commercial,2023
Tennessee,11.8,Commercial,2023
West South Central,9.13,Commercial,2023
Arkansas,10.34,Commercial,2023
Louisiana,10.45,Commercial,2023
Oklahoma,9.34,Commercial,2023
Texas,8.82,Commercial,2023
Mountain,10.94,Commercial,2023
Arizona,11.79,Commercial,2023
Colorado,11.64,Commercial,2023
Idaho,8.78,Commercial,2023
Montana,12.11,Commercial,2023
Nevada,11.91,Commercial,2023
New Mexico,10.68,Commercial,2023
Utah,8.51,Commercial,2023
Wyoming,8.94,Commercial,2023
Pacific Contiguous,19.42,Commercial,2023
California,23.91,Commercial,2023
Oregon,9.92,Commercial,2023
Washington,9.92,Commercial,2023
Pacific Noncontiguous,30.28,Commercial,2023
Alaska,20.87,Commercial,2023
Hawaii,39.03,Commercial,2023
U.S. Total,12.59,Commercial,2023
New England,16.28,Industrial,2024
Connecticut,17.12,Industrial,2024
Maine,12.46,Industrial,2024
Massachusetts,18.19,Industrial,2024
New Hampshire,16.21,Industrial,2024
Rhode Island,19.7,Industrial,2024
Vermont,11.58,Industrial,2024
Middle Atlantic,8.52,Industrial,2024
New Jersey,11.93,Industrial,2024
New York,9.17,Industrial,2024
Pennsylvania,7.87,Industrial,2024
East North Central,8.08,Industrial,2024
Illinois,8.83,Industrial,2024
Indiana,8.15,Industrial,2024
Michigan,8.26,Industrial,2024
Ohio,7.1,Industrial,2024
Wisconsin,8.54,Industrial,2024
West North Central,7.72,Industrial,2024
Iowa,6.8,Industrial,2024
Kansas,7.73,Industrial,2024
Minnesota,9.15,Industrial,2024
Missouri,7.87,Industrial,2024
Nebraska,7.66,Industrial,2024
North Dakota,7.25,Industrial,2024
South Dakota,8.28,Industrial,2024
South Atlantic,7.76,Industrial,2024
Delaware,8.49,Industrial,2024
District of Columbia,10.8,Industrial,2024
Florida,8.5,Industrial,2024
Georgia,7.21,Industrial,2024
Maryland,10.01,Industrial,2024
North Carolina,7.77,Industrial,2024
South Carolina,6.84,Industrial,2024
Virginia,8.99,Industrial,2024
West Virginia,7.81,Industrial,2024
East South Central,6.72,Industrial,2024
Alabama,7.25,Industrial,2024
Kentucky,6.5,Industrial,2024
Mississippi,6.81,Industrial,2024
Tennessee,6.21,Industrial,2024
West South Central,6.05,Industrial,2024
Arkansas,6.61,Industrial,2024
Louisiana,5.61,Industrial,2024
Oklahoma,5.84,Industrial,2024
Texas,6.12,Industrial,2024
Mountain,7.7,Industrial,2024
Arizona,7.9,Industrial,2024
Colorado,8.62,Industrial,2024
Idaho,7.69,Industrial,2024
Montana,7.59,Industrial,2024
Nevada,8.64,Industrial,2024
New Mexico,5.43,Industrial,2024
