station_name,lat,long,elevation
Union Square,37.788299978150825,-122.40853071212769,44.0
38th Ave at Balboa St,37.775522,-122.498498,60.0
Paseo De San Antonio at 2nd St,37.333798,-121.886943,30.0
24th St BART,37.75199174291808,-122.4189799743526,27.0
7th Ave at Irving St,37.76343361023245,-122.46406316757202,91.0
Mission Dolores Park,37.7614205,-122.4264353,19.0
In Chan Kaajal Park,37.7637348,-122.41552403555308,7.0
Arguello Blvd at Edward St,37.778486986397496,-122.45864510536192,65.0
Haste St at College Ave,37.86641794050319,-122.25379943847656,100.0
Embarcadero BART,37.792251,-122.397086,31.0
Mandela Parkway at W Grand Ave,37.81577852302503,-122.2894739973806,2.0
West St at Brockhurst St,37.82268385945021,-122.27292420364392,12.0
Mission Bay Kids Park,37.772300631747626,-122.3930275440216,4.0
North Point St at Polk St,37.805442,-122.42313,26.0
18th Ave at California St,37.785111,-122.477667,41.0
19th St at Florida St,37.7604469,-122.410807,8.0
Allyne Park,37.797249,-122.427457,42.0
5th St at Howard St,37.7813332251007,-122.4048243192974,18.0
Valencia St at 24th St,37.7524278,-122.4206278,24.0
Williams Ave at Apollo St,37.730079,-122.3988045,16.0
Clay St at Lyon St,37.7892792,-122.4450687,77.0
Illinois St at 20th St,37.7603435,-122.387449,8.0
1st St at Folsom St,37.78729,-122.39438,18.0
Telegraph Ave at 49th St,37.83575,-122.262654,34.0
Fulton St at Bancroft Way,37.868135281599706,-122.26593686946156,64.0
Bancroft Way at College Ave,37.869394312305865,-122.25433029666108,99.0
Bancroft Way at Telegraph Ave,37.8689109,-122.2587857,87.0
Addison St at California St,37.86972662872833,-122.27938914547282,39.0
15th St at Valencia St,37.76660177487907,-122.42186344137993,16.0
Derby St at College Ave,37.86175955253551,-122.25367726566596,87.0
Rockridge BART,37.84427875399067,-122.251900434494,58.0
Haight St at Lyon St,37.770519,-122.442326,98.0
Golden Gate Ave at Polk St,37.78136135362254,-122.41852998313826,32.0
College Ave at Alcatraz Ave,37.8513755,-122.2525233,65.0
2nd St at Folsom St,37.7851994,-122.3962173,21.0
Berkeley Civic Center,37.8690599,-122.270556,63.0
Waller St at Shrader St,37.768384314385024,-122.45196695803196,89.0
Brannan St at Colin P Kelly Jr St,37.7822586,-122.3914651,16.0
Oregon St at Adeline St,37.8575672,-122.2675583,43.0
Emeryville Town Hall,37.8312752,-122.2856333,8.0
Fountain Alley at S 2nd St,37.33618830029063,-121.8892765045166,21.0
Potrero Ave at Mariposa St,37.76328094058097,-122.4073773622513,25.0
South San Jose State,37.32031582108647,-121.87009871006012,26.0
Grant Ave at Sutter St,37.78970984996185,-122.40548387640956,63.0
Raymond Kimbell Playground,37.78381270927812,-122.4345588684082,43.0
Lakeshore Ave at Trestle Glen Rd,37.8110807,-122.2432677,7.0
Mississippi St at 17th St,37.764794,-122.3947595,3.0
19th St at Mission St,37.760278,-122.419074,15.0
Glen Park BART,37.7328128005294,-122.43414044380188,53.0
7th Ave at Cabrillo St,37.7751205,-122.464998,68.0
Tehama St at 1st St,37.788032,-122.395626,13.0
Berry St at King St,37.771762110313176,-122.39843755960464,3.0
Mosswood Park,37.82489252995112,-122.26043654610294,24.0
